Id,Partition,Code,Description,Type,Extra,Shop,ShopExtra,Brand,BrandType,,,,,
,Public,218AB17,Roots Blower,Blower,1,RMA,,,,,,,,
,Public,218AB18,Roots Blower,Blower,1,RMA,,,,,,,,
,Public,218AB19,Roots Blower,Blower,1,RMA,,,,,,,,
,Public,228AB17,Roots Blower,Blower,1,RMB,,,,,,,,
,Public,228AB18,Roots Blower,Blower,1,RMB,,,,,,,,
,Public,312AB14,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB15,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB16,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB17,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB31,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB32,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB33,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB34,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB43,Turbo Blower,Blower,1,Homo,,,,,,,,
,Public,312AB46,Roots Blower,Blower,1,Kiln1,,,,,,,,
,Public,312AB47,Roots Blower,Blower,1,Kiln1,,,,,,,,
,Public,312AB58,Roots Blower,Blower,1,Kiln1,,,,,,,,
,Public,312AB59,Roots Blower,Blower,1,Kiln1,,,,,,,,
,Public,312AB60,Roots Blower,Blower,1,Kiln1,,,,,,,,
,Public,312AB61,Roots Blower,Blower,1,Kiln1,,,,,,,,
,Public,315AB55,Preh.Emergency Stack Cap,Blower,1,Kiln1,,,,,,,,
,Public,322AB17,FEED BIN FLUIDISATION AIR BOOSTER,Blower,2,Kiln2,,,,,,,,
,Public,325AB41,DUST BIN FLUIDISATION AIR BOOSTER,Blower,2,Kiln2,,,,,,,,
,Public,331AB31,FLUIDIZATION SILO BOOSTER,Blower,2,Kiln2,,,,,,,,
,Public,331AB32,FLUIDIZATION SILO BOOSTER (STAND BY),Blower,2,Kiln2,,,,,,,,
,Public,331AB33,FLUIDIZATION SILO BOOSTER,Blower,2,Kiln2,,,,,,,,
,Public,501AB07,Roots Blower (Silo A),Blower,1,Packing,,,,,,,,
,Public,501AB09,Roots Blower (Silo A),Blower,1,Packing,,,,,,,,
,Public,501AB21,Roots Blower (Silo B),Blower,1,Packing,,,,,,,,
,Public,501AB23,Roots Blower (Silo B),Blower,1,Packing,,,,,,,,
,Public,501AB35,Roots Blower (Silo C),Blower,1,Packing,,,,,,,,
,Public,501AB37,Roots Blower (Silo C),Blower,1,Packing,,,,,,,,
,Public,501AB49,Roots Blower (Silod),Blower,1,Packing,,,,,,,,
,Public,501AB51,Roots Blower (Silod),Blower,1,Packing,,,,,,,,
,Public,502AB17,Roots Blower (Silo A),Blower,1,Packing,,,,,,,,
,Public,502AB39,Roots Blower (Silo B),Blower,1,Packing,,,,,,,,
,Public,502AB61,Roots Blower (Silo C),Blower,1,Packing,,,,,,,,
,Public,502AB83,Roots Blower (Silo D),Blower,1,Packing,,,,,,,,
,Public,624AB09,Blower,Blower,2,Coal2,,,,,,,,
,Public,624AB11,Blower,Blower,2,Coal2,,,,,,,,
,Public,624AB27,Blower,Blower,2,Coal2,,,,,,,,
,Public,624AB29,Blower,Blower,2,Coal2,,,,,,,,
,Public,418AE07,Turbo Blower,Valve,1,CMA,,,,,,,,
,Public,428AE07,Turbo Blower,Valve,1,CMB,,,,,,,,
,Public,501AE11,Pneumatic Cut Off Valve  Limit Switch Open,Valve,1,Packing,,,,,,,,
,Public,501AE25,Pneumatic Cut Off Valve  Limit Switch Open,Valve,1,Packing,,,,,,,,
,Public,501AE39,Pneumatic Cut Off Valve  Limit Switch Open,Valve,1,Packing,,,,,,,,
,Public,501AE53,Pneumatic Cut Off Valve  Limit Switch Open,Valve,1,Packing,,,,,,,,
,Public,10BAF15,Paddle Wheel For Apron Feeder,Apron Conveyor,1,RMA,,,,,,,,
,Public,114AF03,Limestone Apron Feeder,Apron Conveyor,1,Crusher,,,,,,,,
,Public,115AF13,Apron Feeder For Limestone,Apron Conveyor,1,RMA,,,,,,,,
,Public,115AF15,Apron Feeder ,Apron Conveyor,1,RMA,,,,,,,,
,Public,115AF17,Apron Feeder,Apron Conveyor,1,RMA,,,,,,,,
,Public,164AF03,Apron Feeder New Clay Crusher,Apron Conveyor,1,Crusher,,,,,,,,
,Public,216AF03,Spillage Conveyor,Apron Conveyor,1,RMA,,,,,,,,
,Public,226AF03,Spillage Conveyor,Apron Conveyor,1,RMB,,,,,,,,
,Public,403AF05,Apron Conveyor,Apron Conveyor,1,CMB,,,,,,,,
,Public,323AG26,Gas Analyzer,Gas Analyzer,2,Kiln2,,,,,,,,
,Public,323AG27,Gas Analyzer,Gas Analyzer,2,Kiln2,,,,,,,,
,Public,334AG53,Gas Analyzer,Gas Analyzer,2,Kiln2,,,,,,,,
,Public,208AS09,Shut-Off Gate,Blower,1,Homo,,,,,,,,
,Public,208AS13,Turbo Blower,Blower,1,Homo,,,,,,,,
,Public,208AS17,Turbo Blower,Blower,1,Homo,,,,,,,,
,Public,208AS19,Fan Exhaust,Blower,1,Homo,,,,,,,,
,Public,216AS51,Turbo Blower,Blower,1,RMA,,,,,,,,
,Public,218AS01,Turbo Blower,Blower,1,RMA,,,,,,,,
,Public,218AS05,Turbo Blower,Blower,1,RMA,,,,,,,,
,Public,218AS07,Turbo Blower,Blower,1,RMA,,,,,,,,
,Public,218AS09,Turbo Blower,Blower,1,RMA,,,,,,,,
,Public,218AS21,Turbo Blower For Air Slide,Blower,1,RMA,,,,,,,,
,Public,226AS51,Turbo Blower,Blower,1,RMB,,,,,,,,
,Public,228AS01,Turbo Blower,Blower,1,RMB,,,,,,,,
,Public,228AS05,Turbo Blower,Blower,1,RMB,,,,,,,,
,Public,228AS07,Turbo Blower,Blower,1,RMB,,,,,,,,
,Public,228AS09,Turbo Blower,Blower,1,RMB,,,,,,,,
,Public,228AS21,Turbo Blower For Air Slide,Blower,1,RMB,,,,,,,,
,Public,312AS12,High Pressure Fan,Blower,1,Homo,,,,,,,,
,Public,312AS29,High Pressure Fan,Blower,1,Homo,,,,,,,,
,Public,312AS35,High Pressure Fan,Blower,1,Homo,,,,,,,,
,Public,312AS36,High Pressure Fan,Blower,1,Homo,,,,,,,,
,Public,312AS54,Turbo Blower,Blower,1,Kiln1,,,,,,,,
,Public,312AS55,Turbo Blower,Blower,1,Kiln1,,,,,,,,
,Public,312AS67,Turbo Blower,Blower,1,Kiln1,,,,,,,,
,Public,312AS74,Turbo Blower,Blower,1,Homo,,,,,,,,
,Public,315AS59,Roots Blower,Blower,1,Kiln1,,,,,,,,
,Public,331AS02,DISTRIBUTOR TOP SILO,Blower,2,RMC,,,,,,,,
,Public,418AS01,Turbo Blower,Blower,1,CMA,,,,,,,,
,Public,428AS01,Turbo Blower,Blower,1,CMB,,,,,,,,
,Public,512AS03,Turbo  Blower,Blower,1,Packing,,,,,,,,
,Public,512AS09,Turbo  Blower,Blower,1,Packing,,,,,,,,
,Public,513AS19,Turbo Blower,Blower,1,Packing,,,,,,,,
,Public,522AS03,Turbo Blower,Blower,1,Packing,,,,,,,,
,Public,522AS09,Turbo Blower,Blower,1,Packing,,,,,,,,
,Public,523AS19,Turbo Blower,Blower,1,Packing,,,,,,,,
,Public,532AS03,Turbo Blower,Blower,1,Packing,,,,,,,,
,Public,532AS09,Turbo Blower,Blower,1,Packing,,,,,,,,
,Public,533AS19,Turbo Blower,Blower,1,Packing,,,,,,,,
,Public,542AS03,Turbo Blower,Blower,1,Packing,,,,,,,,
,Public,542AS09,Turbo Blower,Blower,1,Packing,,,,,,,,
,Public,543AS19,Turbo Blower,Blower,1,Packing,,,,,,,,
,Public,315AW67,Trubo Blower,Pump,1,Kiln1,,,,,,,,
,Public,327AW23,WATER SPRAY PUMP,Pump,2,Cooler2,,,,,,,,
,Public,416AW27,Cooling Water Control Valve,Pump,1,CMA,,,,,,,,
,Public,426AW27,Inlet Water Control Valve,Pump,1,CMB,,,,,,,,
,Public,436AW47,WATER INJECTION HEATING,Pump,2,CMC,,,,,,,,
,Public,623AW27,Water injection,Pump,2,Coal2,,,,,,,,
,Public,105BC01,Belt Conveyor For Raw Mix,Belt Conveyor,1,RMA,,,,,,,,
,Public,105BC05,Belt Conveyor For Raw Mix,Belt Conveyor,1,RMA,,,,,,,,
,Public,105BC09,CONVEYOR,Belt Conveyor,2,RMC,,,,,,,,
,Public,10BBC01,Belt Conveyor For Clay,Belt Conveyor,1,RMA,,,,,,,,
,Public,10BBC03,Belt Conveyor For Clay,Belt Conveyor,1,RMA,,,,,,,,
,Public,10BBC11,Belt Conveyor For Clay,Belt Conveyor,1,RMA,,,,,,,,
,Public,10BBC17,Belt Conveyor For Clay,Belt Conveyor,1,RMA,,,,,,,,
,Public,115BC01,Belt Conveyor,Belt Conveyor,1,Crusher,,,,,,,,
,Public,115BC03,Belt Conveyor,Belt Conveyor,1,Crusher,,,,,,,,
,Public,115BC05,Long Belt Conveyor 1 1,Belt Conveyor,1,Crusher,,,,,,,,
,Public,115BC07,Long Belt Conveyor 2 1,Belt Conveyor,1,RMA,,,,,,,,
,Public,115BC19,Belt Conveyor For Limestone,Belt Conveyor,1,RMA,,,,,,,,
,Public,200BC03,CONVEYOR,Belt Conveyor,2,RMC,,,,,,,,
,Public,202BC03,Belt Conveyor For Raw Mix,Belt Conveyor,1,RMA,,,,,,,,
,Public,202BC04,CONVEYOR,Belt Conveyor,2,RMC,,,,,,,,
,Public,202BC06,CONVEYOR,Belt Conveyor,2,RMC,,,,,,,,
,Public,202BC07,Belt Conveyor For Raw Mix,Belt Conveyor,1,RMA,,,,,,,,
,Public,202BC09,Belt Conveyor For Raw Mix,Belt Conveyor,1,RMA,,,,,,,,
,Public,202BC11,CONVEYOR,Belt Conveyor,1,RMA,,,,,,,,
,Public,202BC12,CONVEYOR,Belt Conveyor,2,RMC,,,,,,,,
,Public,202BC19,Belt Conveyor For Pure Limestone,Belt Conveyor,1,RMA,,,,,,,,
,Public,202BC23,Belt Conveyor For Pure Limestone,Belt Conveyor,1,RMA,,,,,,,,
,Public,202BC27,Belt Conveyor For Pure Limestone,Belt Conveyor,1,RMA,,,,,,,,
,Public,203BC05,Belt Conveyor For Additive,Belt Conveyor,1,RMA,,,,,,,,
,Public,203BC09,Belt Conveyor For Additive,Belt Conveyor,1,RMA,,,,,,,,
,Public,216BC17,Belt Conveyor,Belt Conveyor,1,RMA,,,,,,,,
,Public,226BC17,Belt Conveyor,Belt Conveyor,1,RMB,,,,,,,,
,Public,236BC10,#N/A,Belt Conveyor,2,RMC,,,,,,,,
,Public,236BC27,CONVEYOR,Belt Conveyor,2,RMC,,,,,,,,
,Public,315BC69,Belt Conveyor,Belt Conveyor,1,Kiln1,,,,,,,,
,Public,315BC71,Belt Conveyor,Belt Conveyor,1,Kiln1,,,,,,,,
,Public,325BC32,CONVEYOR,Belt Conveyor,2,Kiln2,,,,,,,,
,Public,403BC01,Emergancy Belt Conveyor,Belt Conveyor,1,CMB,,,,,,,,
,Public,403BC09,Belt Conveyor (Gypsum),Belt Conveyor,1,CMB,,,,,,,,
,Public,403BC13,Belt Conveyor (Gypsum),Belt Conveyor,1,CMB,,,,,,,,
,Public,403BC21,Belt Feeder,Belt Conveyor,1,CMB,,,,,,,,
,Public,403BC23,Belt Conveyor (Additive),Belt Conveyor,1,CMB,,,,,,,,
,Public,416BC07,Belt Conveyor,Belt Conveyor,1,CMA,,,,,,,,
,Public,423BC02,CONVEYOR,Belt Conveyor,2,CMC,,,,,,,,
,Public,423BC08,CONVEYOR,Belt Conveyor,2,CMC,,,,,,,,
,Public,426BC07,Belt Conveyor,Belt Conveyor,1,CMB,,,,,,,,
,Public,432BC11,REINFORCED BELT CONVEYOR,Belt Conveyor,2,CMC,,,,,,,,
,Public,432BC12,REINFORCED BELT CONVEYOR,Belt Conveyor,2,CMC,,,,,,,,
,Public,432BC19,REINFORCED BELT CONVEYOR,Belt Conveyor,2,CMC,,,,,,,,
,Public,436BC09,CONVEYOR,Belt Conveyor,2,CMC,,,,,,,,
,Public,513BC09,Belt Conveyor  Speed Switch,Belt Conveyor,1,Packing,,,,,,,,
,Public,516BC07,Belt Conveyor  Speed Switch,Belt Conveyor,1,Packing,,,,,,,,
,Public,516BC09,Belt Conveyor,Belt Conveyor,1,Packing,,,,,,,,
,Public,523BC09,Belt Conveyor  Speed Switch,Belt Conveyor,1,Packing,,,,,,,,
,Public,526BC07,Belt Conveyor  Speed Switch,Belt Conveyor,1,Packing,,,,,,,,
,Public,526BC09,Belt Conveyor,Belt Conveyor,1,Packing,,,,,,,,
,Public,533BC09,Belt Conveyor  Speed Switch,Belt Conveyor,1,Packing,,,,,,,,
,Public,536BC07,Belt Conveyor  Speed Switch,Belt Conveyor,1,Packing,,,,,,,,
,Public,536BC09,Belt Conveyor Speed Switch,Belt Conveyor,1,Packing,,,,,,,,
,Public,536BC11,Belt Conveyor,Belt Conveyor,1,Packing,,,,,,,,
,Public,543BC09,Belt Conveyor Speed Switch Speed Switch,Belt Conveyor,1,Packing,,,,,,,,
,Public,546BC07,Belt Conveyor  Speed Switch,Belt Conveyor,1,Packing,,,,,,,,
,Public,546BC09,Belt Conveyor Rope Switch,Belt Conveyor,1,Packing,,,,,,,,
,Public,546BC11,Belt Conveyor  Rope Switch,Belt Conveyor,1,Packing,,,,,,,,
,Public,556BC01,CONVEYOR,Belt Conveyor,1,Packing,,,,,,,,
,Public,556BC02,CONVEYOR,Belt Conveyor,1,Packing,,,,,,,,
,Public,5A6BC01,CONVEYOR,Belt Conveyor,2,Packing,,,,,,,,
,Public,5A6BC02,CONVEYOR,Belt Conveyor,2,Packing,,,,,,,,
,Public,622BC05,Belt conveyor,Belt Conveyor,2,Coal2,,,,,,,,
,Public,622BC15,Belt Conveyor,Belt Conveyor,2,Coal2,,,,,,,,
,Public,623BC17,Discharge belt drive,Belt Conveyor,2,Coal2,,,,,,,,
,Public,316BD17,Kiln Hood Pressure,Hood,1,Kiln1,,,,,,,,
,Public,316BD19,Kiln Feed  Inlet Pressure,Hood,1,Kiln1,,,,,,,,
,Public,236BE18,ELEVATOR AUXILIARY DRIVE,Bucket Conveyor,2,RMC,,,,,,,,
,Public,312BE41,Bucket Elevator,Bucket Conveyor,1,Homo,,,,,,,,
,Public,312BE72,Bucket Elevator,Bucket Conveyor,1,Homo,,,,,,,,
,Public,314BE49,Inlet To Mill Damper,Bucket Conveyor,1,EP Filter,,,,,,,,
,Public,314BE95,EH Damper Hydraulic Oil Pump,Bucket Conveyor,1,EP Filter,,,,,,,,
,Public,315BE45,Bucket Elevator Main Drive,Bucket Conveyor,1,Kiln1,,,,,,,,
,Public,322BE01,ELEVATOR AUXILIARY DRIVE,Bucket Conveyor,2,Kiln2,,,,,,,,
,Public,322BE09,ELEVATOR AUXILIARY DRIVE,Bucket Conveyor,2,Kiln2,,,,,,,,
,Public,325BE22,ELEVATOR AUXILIARY DRIVE,Bucket Conveyor,2,Kiln2,,,,,,,,
,Public,418BE03,Bucket Elevator,Bucket Conveyor,1,CMA,,,,,,,,
,Public,428BE03,Bucket Elevator Main,Bucket Conveyor,1,CMB,,,,,,,,
,Public,436BE16,ELEVATOR AUXILIARY DRIVE,Bucket Conveyor,2,CMC,,,,,,,,
,Public,438BE08,ELEVATOR AUXILIARY DRIVE,Bucket Conveyor,2,CMC,,,,,,,,
,Public,513BE17,Bucket Elevator,Bucket Conveyor,1,Packing,,,,,,,,
,Public,523BE17,Bucket Elevator,Bucket Conveyor,1,Packing,,,,,,,,
,Public,533BE17,Bucket Elevator,Bucket Conveyor,1,Packing,,,,,,,,
,Public,543BE17,Bucket Elevator,Bucket Conveyor,1,Packing,,,,,,,,
,Public,552BE05,ELEVATOR AUXILIARY DRIVE,Bucket Conveyor,1,Packing,,,,,,,,
,Public,5A2BE05,ELEVATOR AUXILIARY DRIVE,Bucket Conveyor,2,Packing,,,,,,,,
,Public,316BP35,Burner Carriage,Burner,1,Cooler1,,,,,,,,
,Public,316BP39,Nat Gas Inlet Pressure,Burner,1,Cooler1,,,,,,,,
,Public,317BP39,DDF Burner Net Gas Valve Limit Switch Close,Burner,1,Cooler1,,,,,,,,
,Public,326BP24,KILN BURNER CARRIAGE,Burner,2,Cooler2,,,,,,,,
,Public,326BP27,NEW PRIMARY AIR FAN,Burner,2,Kiln2,,,,,,,,
,Public,516BS03,Check Weigher,Check Weigher,1,Packing,,,,,,,,
,Public,526BS03,Check Weigher,Check Weigher,1,Packing,,,,,,,,
,Public,536BS03,Check Weigher,Check Weigher,1,Packing,,,,,,,,
,Public,313CA49,DDF Oil Flow Control Valve,Valve,1,Kiln1,,,,,,,,
,Public,313CA51,DDF Oil Flow Control Valve,Valve,1,Kiln1,,,,,,,,
,Public,319CB05,Pan Conveyor  # 1,Pan Conveyor,1,Cooler1,,,,,,,,
,Public,319CB07,Pan Conveyor  # 2,Pan Conveyor,1,Cooler1,,,,,,,,
,Public,319CB15,Pan Conveyor,Pan Conveyor,1,Cooler1,,,,,,,,
,Public,402CB73,Pan Conveyor,Pan Conveyor,1,CMA,,,,,,,,
,Public,402CB75,Pan Conveyor,Pan Conveyor,1,CMA,,,,,,,,
,Public,327CC01,Clinker Cooler,Clinker Cooler,2,Kiln2,,,,,,,,
,Public,416CH37,EP 1st Chamber Voltage,EP Filter,1,CMB,,,,,,,,
,Public,416CH39,EP 2nd Chamber Voltage,EP Filter,1,CMB,,,,,,,,
,Public,114CM09,Air Compressor For Bag Filter,Compressor,1,Crusher,,,,,,,,
,Public,418CM13,Air Compressor,Compressor,1,CMB,,,,,,,,
,Public,418CM17,Air Compressor,Compressor,1,CMB,,,,,,,,
,Public,428CM13,Air Compressor,Compressor,1,CMB,,,,,,,,
,Public,428CM17,Air Compressor,Compressor,1,CMB,,,,,,,,
,Public,620CM01,Compressor,Compressor,2,Coal2,,,,,,,,
,Public,620CM03,Compressor,Compressor,2,Coal2,,,,,,,,
,Public,920CM01,Air Compressor,Compressor,2,Utilities2,,,,,,,,
,Public,920CM02,Air Compressor,Compressor,2,Utilities2,,,,,,,,
,Public,920CM03,Air Compressor,Compressor,2,Utilities2,,,,,,,,
,Public,920CM04,Air Compressor,Compressor,2,Utilities2,,,,,,,,
,Public,920CM05,Air Compressor,Compressor,2,Utilities2,,,,,,,,
,Public,920CM06,Air Compressor,Compressor,2,Utilities2,,,,,,,,
,Public,114CN11,Over-Head Crane,Crane,1,Crusher,,,,,,,,
,Public,114CN15,Hammer Exchanging Hoist,Crane,1,Crusher,,,,,,,,
,Public,236CN23,Over-Head Crane,Crane,2,RMC,,,,,,,,
,Public,401CN05,Over-Head Crane,Crane,1,CMA,,,,,,,,
,Public,501CN03,Over-Head Crane,Crane,1,Packing,,,,,,,,
,Public,501CN17,Over-Head Crane,Crane,1,Packing,,,,,,,,
,Public,501CN31,Over-Head Crane,Crane,1,Packing,,,,,,,,
,Public,501CN45,Over-Head Crane,Crane,1,Packing,,,,,,,,
,Public,501CN69,Over-Head Crane,Crane,1,Packing,,,,,,,,
,Public,623CN29,Over-Head Crane,Crane,2,Coal2,,,,,,,,
,Public,230CP05,Capacitor Bank Panel,Electrical Panel,2,RMC,,,,,,,,
,Public,320CP05,Capacitor Bank Panel,Electrical Panel,2,Kiln2,,,,,,,,
,Public,321CP05,Capacitor Bank Panel,Electrical Panel,2,Kiln2,,,,,,,,
,Public,430CP05,Capacitor Bank Panel,Electrical Panel,2,CMC,,,,,,,,
,Public,620CP05,Capacitor Bank Panel,Electrical Panel,2,Coal2,,,,,,,,
,Public,900CP05,Capacitor Bank Panel,Electrical Panel,2,Utilities2,,,,,,,,
,Public,114CR05,Lime Stone Crusher,Crusher,1,Crusher,,,,,,,,
,Public,317CR71,Clinker Breaker,Crusher,1,Cooler1,,,,,,,,
,Public,327CR04,ROLL CRUSHER,Crusher,2,Cooler2,, ROLLER 1,,'',,,,
,Public,403CR07,Gypsum Crusher,Crusher,1,CMB,,,,,,,,
,Public,314CU51,Chain Conveyor Gate,Gate,1,EP Filter,,,,,,,,
,Public,314CU97,Bucket Elevator  Gate,Gate,1,EP Filter,,,,,,,,
,Public,319CU11,Diverting Damper,Gate,1,Cooler1,,,,,,,,
,Public,319CU13,Diverting Damper,Gate,1,Cooler1,,,,,,,,
,Public,418CU21,Inlet To Cement Silo 2 Way Chute,Gate,1,CMA,,,,,,,,
,Public,418CU23,Chute To Cement Silo A,Gate,1,CMA,,,,,,,,
,Public,418CU25,Chute To Cement Silo C,Gate,1,CMA,,,,,,,,
,Public,428CU21,Inlet To Cement Silo 2 Way Chute,Gate,1,CMB,,,,,,,,
,Public,428CU23,Chute To Cement Silo A,Gate,1,CMB,,,,,,,,
,Public,428CU25,Chute To Cement Silo C,Gate,1,CMB,,,,,,,,
,Public,313CY39,Cyclone outlet gas 4A,Cyclone Separator,1,Kiln1,,,,,,,,
,Public,313CY43,Cyclone Stage 4 Branch B Cyclone,Cyclone Separator,1,Kiln1,,,,,,,,
,Public,216DA55,Hag Outlet Shutter,Damper,1,Homo,,,,,,,,
,Public,226DA55,Secondary Air Fan,Damper,1,Homo,,,,,,,,
,Public,312DA63,Diverting Damper,Damper,1,Kiln1,,,,,,,,
,Public,312DA66,Diverting Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA35,Distribution Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA37,Distribution Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA55,Preheater Tertirary Air Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA59,Preheater Tertirary Air Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA73,SP Exhaust Gas Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA75,SP Exhaust Gas Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA81,Kiln Exhaust Gas Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA83,Kiln Exhaust Gas Damper,Damper,1,Kiln1,,,,,,,,
,Public,314DA03,Secondary Air Fan,Damper,1,EP Filter,,,,,,,,
,Public,314DA55,Evaporative Cooler Inlet Damper,Damper,1,EP Filter,,,,,,,,
,Public,315DA03,Bucket Elevator Inching,Damper,1,Kiln1,,,,,,,,
,Public,315DA35,Distribution Damper,Damper,1,Kiln1,,,,,,,,
,Public,326DA31,KILN TERTIARY AIR DUCT DAMPER 1,Damper,2,Cooler2,,,,,,,,
,Public,326DA32,BURNER TERTIARY AIR DAMPER,Damper,2,Cooler2,,,,,,,,
,Public,328DA13,Damper,Damper,2,Kiln2,,,,,,,,
,Public,334DA13,Damper,Damper,2,Kiln2,,,,,,,,
,Public,334DA14,Damper,Damper,2,RMC,,,,,,,,
,Public,334DA17,Damper,Damper,2,Kiln2,,,,,,,,
,Public,436DA32,Damper,Damper,2,CMC,,,,,,,,
,Public,436DA33,Damper,Damper,2,CMC,,,,,,,,
