Id,Partition,CodeItem,CodeInventory,Description1,Description2,Qty
,Public,114AF03MT10,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT11,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT12,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT20,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT21,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT22,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT30,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT40,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT50,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT70,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,115BC19MT10,1220104594,BRG BALL DEEP GROOVE 6312 ZZ,CYLINDRICAL BORE,1
,Public,115BC19MT10,1220105092,ROLLER BRG NU 317 ECP,CYLINDRICAL NU,1
,Public,164AF03MT10,1220104057,DEEP GROOVE BALL BRG 6212/C3,1ROW,1
,Public,164AF03MT10,1220105050,ROLLER BRG NU 212ECG/C3,CYLINDRICAL NU,1
,Public,200FA08MT10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,200FA08MT10,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,202BC03MT10,1220104194,DEEP GROOVE BALLBRG 6315-2Z/C3,SHIELD1ROW,1
,Public,202BC03MT10,1220104071,DEEP GROOVE BALL BRG 6220,1ROW,1
,Public,202BC04MR10,1220104262,BRG BALL DEEP GROOVE 6209 2Z,1ROW,1
,Public,202BC04MR10,1220104454,BRG BALL DEEP GROOVE 6309 ZZ,,1
,Public,202BC06MT10,1220110263,BRG ROLLER CYL NU 316 ECJC3,1ROW,1
,Public,202BC06MT10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,1
,Public,202BC09MT10,1220104332,BRG BALL DEEP GROOVE 6218,SINGLE ROW,2
,Public,202BC09MR10,1220104332,BRG BALL DEEP GROOVE 6218,SINGLE ROW,2
,Public,202BC09MT10,1400101320,"MOTOR 110KW,380VD,1490RPM","TIKK,FRAME 280L,FORM FCKW",0
,Public,202BC09MR10,1400101320,"MOTOR 110KW,380VD,1490RPM","TIKK,FRAME 280L,FORM FCKW",0
,Public,202BC11MT10,1220110263,BRG ROLLER CYL NU 316 ECJC3,1ROW,1
,Public,202BC11MT10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,1
,Public,202DC15MT10,1220104631,BRG BALL DEEP GROOVE 6212 2RS,SKF,1
,Public,202DC15MT10,1220104594,BRG BALL DEEP GROOVE 6312 ZZ,CYLINDRICAL BORE,1
,Public,203BC09MT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,203BC09MT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,208AS09MT10,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,208AS09MT20,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,208AS09MT10,1220104597,BRG BALL DEEP GROOVE 6208 2RSC3,SINGLE ROW,1
,Public,208AS09MT20,1220104597,BRG BALL DEEP GROOVE 6208 2RSC3,SINGLE ROW,1
,Public,208DC15MR10,1400101075,MOTOR 5.5KW 220D/380V 2920RPM,"TYPE:M2BA132S2-A , B5",1
,Public,208DC15MT10,1400101075,MOTOR 5.5KW 220D/380V 2920RPM,"TYPE:M2BA132S2-A , B5",1
,Public,216DR27HT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27HT20,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MT20,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MT30,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MT40,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MT50,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MT60,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MR10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MR20,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MR30,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27HT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,216DR27HT20,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,216DR27MT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,216DR27MT20,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,216DR27MT30,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,216DR27MT40,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,216DR27MT50,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,216DR27MT60,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,216DR27MR10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,216DR27MR20,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,216DR27MR30,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,216RA49MT10,1220104454,BRG BALL DEEP GROOVE 6309 ZZ,,1
,Public,216RA49MT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,218AS05MT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,218AS05MT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,218AS07MT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,218AS07MT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,226DC19MT10,1220104631,BRG BALL DEEP GROOVE 6212 2RS,SKF,1
,Public,226DC19MT10,1220104594,BRG BALL DEEP GROOVE 6312 ZZ,CYLINDRICAL BORE,1
,Public,226DR27HT10,1220104417,DEEP GROOVE BALL BRG 6205 2RS,SHIELD 1ROW,1
,Public,226DR27HT20,1220104417,DEEP GROOVE BALL BRG 6205 2RS,SHIELD 1ROW,1
,Public,226DR27MT10,1220104417,DEEP GROOVE BALL BRG 6205 2RS,SHIELD 1ROW,1
,Public,226DR27MT20,1220104417,DEEP GROOVE BALL BRG 6205 2RS,SHIELD 1ROW,1
,Public,226DR27MT30,1220104417,DEEP GROOVE BALL BRG 6205 2RS,SHIELD 1ROW,1
,Public,226DR27MT40,1220104417,DEEP GROOVE BALL BRG 6205 2RS,SHIELD 1ROW,1
,Public,226DR27MT50,1220104417,DEEP GROOVE BALL BRG 6205 2RS,SHIELD 1ROW,1
,Public,226DR27MT60,1220104417,DEEP GROOVE BALL BRG 6205 2RS,SHIELD 1ROW,1
,Public,226DR27MR10,1220104417,DEEP GROOVE BALL BRG 6205 2RS,SHIELD 1ROW,1
,Public,226DR27MR20,1220104417,DEEP GROOVE BALL BRG 6205 2RS,SHIELD 1ROW,1
,Public,226DR27MR30,1220104417,DEEP GROOVE BALL BRG 6205 2RS,SHIELD 1ROW,1
,Public,226DR27HT10,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,226DR27HT20,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,226DR27MT10,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,226DR27MT20,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,226DR27MT30,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,226DR27MT40,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,226DR27MT50,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,226DR27MT60,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,226DR27MR10,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,226DR27MR20,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,226DR27MR30,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,226RA45MT10,1220104454,BRG BALL DEEP GROOVE 6309 ZZ,,1
,Public,226RA45MT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,228AS05MT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,228AS05MT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,236BE18MR10,1220105298,BRG ROLLER CYL NU 312 ECJ C3,,1
,Public,236BE18MT10,1220105298,BRG ROLLER CYL NU 312 ECJ C3,,1
,Public,236BE18MR10,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,236BE18MT10,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,236FA30MT10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,236FA30MT10,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,236FA50MT80,1220104418,DEEP GROOVE BALL BRG6206 2Z/C3,SHIELD1ROW,1
,Public,236LU60MT54,1220104141,DEEP GROOVE BALL BRG 6313/C3ER,1ROW,2
,Public,236LU60MT55,1220104141,DEEP GROOVE BALL BRG 6313/C3ER,1ROW,2
,Public,236LU60MT52,1220104141,DEEP GROOVE BALL BRG 6313/C3ER,1ROW,2
,Public,236LU60MT57,1220104141,DEEP GROOVE BALL BRG 6313/C3ER,1ROW,2
,Public,236LU60MT56,1220104141,DEEP GROOVE BALL BRG 6313/C3ER,1ROW,2
,Public,236LU60MT53,1220104141,DEEP GROOVE BALL BRG 6313/C3ER,1ROW,2
,Public,236LU60MT51,1220104141,DEEP GROOVE BALL BRG 6313/C3ER,1ROW,2
,Public,312AB14MT10,1220104594,BRG BALL DEEP GROOVE 6312 ZZ,CYLINDRICAL BORE,1
,Public,312AB14MT10,1220104631,BRG BALL DEEP GROOVE 6212 2RS,SKF,1
,Public,312AB59MT10,1220105268,ROLLER BRG NU 332 UAMC3E,CYLINDRICAL NU,1
,Public,312AB59MT10,1220105268,ROLLER BRG NU 332 UAMC3E,CYLINDRICAL NU,1
,Public,312AS29MT10,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,312AS29MT20,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,312AS29MT30,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,312DC64MT10,1220104183,DEEP GROOVE BALL BRG 6313-ZZ,SEALED-1ROW,1
,Public,312DC64MT20,1220104183,DEEP GROOVE BALL BRG 6313-ZZ,SEALED-1ROW,1
,Public,312DC64MT30,1220104183,DEEP GROOVE BALL BRG 6313-ZZ,SEALED-1ROW,1
,Public,312DC64MT10,1220104631,BRG BALL DEEP GROOVE 6212 2RS,SKF,1
,Public,312DC64MT20,1220104631,BRG BALL DEEP GROOVE 6212 2RS,SKF,1
,Public,312DC64MT30,1220104631,BRG BALL DEEP GROOVE 6212 2RS,SKF,1
,Public,315TC07MT20,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,315TC07MT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,315TC07MT30,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,315TC07MT20,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,315TC07MT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,315TC07MT30,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,316BP35FY10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,2
,Public,316BP35MR10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,2
,Public,316BP35MT10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,2
,Public,316BP35VV10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,2
,Public,316BP35FY10,1400101515,"MOTOR,132KW,380VAC,3000RPM,50HZ","TYPE:1TZ9501-3AA234AB4-Z,F/NEW BURNER PRIMARY AF",1
,Public,316BP35MR10,1400101515,"MOTOR,132KW,380VAC,3000RPM,50HZ","TYPE:1TZ9501-3AA234AB4-Z,F/NEW BURNER PRIMARY AF",1
,Public,316BP35MT10,1400101515,"MOTOR,132KW,380VAC,3000RPM,50HZ","TYPE:1TZ9501-3AA234AB4-Z,F/NEW BURNER PRIMARY AF",1
,Public,316BP35VV10,1400101515,"MOTOR,132KW,380VAC,3000RPM,50HZ","TYPE:1TZ9501-3AA234AB4-Z,F/NEW BURNER PRIMARY AF",1
,Public,316DR27MT40,1400101315,"MOTOR 3KW,380VAC,3000RPM,6.4A",TYPE: M3BA 100 LB2 MOUNTING B5,1
,Public,316DR27MT50,1400101315,"MOTOR 3KW,380VAC,3000RPM,6.4A",TYPE: M3BA 100 LB2 MOUNTING B5,1
,Public,316DR27MT10,1400101315,"MOTOR 3KW,380VAC,3000RPM,6.4A",TYPE: M3BA 100 LB2 MOUNTING B5,1
,Public,316DR27MT20,1400101315,"MOTOR 3KW,380VAC,3000RPM,6.4A",TYPE: M3BA 100 LB2 MOUNTING B5,1
,Public,316DR27MT40,1400101315,"MOTOR 3KW,380VAC,3000RPM,6.4A",TYPE: M3BA 100 LB2 MOUNTING B5,1
,Public,316DR27MT50,1400101315,"MOTOR 3KW,380VAC,3000RPM,6.4A",TYPE: M3BA 100 LB2 MOUNTING B5,1
,Public,316DR27MT10,1400101315,"MOTOR 3KW,380VAC,3000RPM,6.4A",TYPE: M3BA 100 LB2 MOUNTING B5,1
,Public,316DR27MT20,1400101315,"MOTOR 3KW,380VAC,3000RPM,6.4A",TYPE: M3BA 100 LB2 MOUNTING B5,1
,Public,317FA61MT10,1220104332,BRG BALL DEEP GROOVE 6218,SINGLE ROW,2
,Public,317FA61MT20,1220104332,BRG BALL DEEP GROOVE 6218,SINGLE ROW,2
,Public,319DG01MT10,1220104594,BRG BALL DEEP GROOVE 6312 ZZ,CYLINDRICAL BORE,1
,Public,319DG01MT10,1220104594,BRG BALL DEEP GROOVE 6312 ZZ,CYLINDRICAL BORE,1
,Public,322BE01MR10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,1
,Public,322BE01MT10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,1
,Public,322BE01MR10,1220110263,BRG ROLLER CYL NU 316 ECJC3,1ROW,1
,Public,322BE01MT10,1220110263,BRG ROLLER CYL NU 316 ECJC3,1ROW,1
,Public,322BE09MR10,1400101362,MOTOR 160KW 1500RPM 400VAC,TYPE:M3BP315MLA4B3  ABB,1
,Public,322BE09MT10,1400101362,MOTOR 160KW 1500RPM 400VAC,TYPE:M3BP315MLA4B3  ABB,1
,Public,322BE09MR10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,1
,Public,322BE09MT10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,1
,Public,322BE09MR10,1220105242,BRG ROLLER CYL NU 319 C3,SINGLE ROW,1
,Public,322BE09MT10,1220105242,BRG ROLLER CYL NU 319 C3,SINGLE ROW,1
,Public,322FA15MT10,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,322FA15MT10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,322FA20MT10,1220105290,BRG ROLLER CYL NU 310 C3,,1
,Public,322FA20MT10,1220104106,DEEP GROOVE BALL BRG6309 2Z/C3,SHIELD1ROW,1
,Public,322FA22MT10,1220104106,DEEP GROOVE BALL BRG6309 2Z/C3,SHIELD1ROW,1
,Public,322FA22MT10,1220105246,BRG ROLLER CYLNU 309 ECJ,SINGLE ROW,1
,Public,322FA24MT10,1220105246,BRG ROLLER CYLNU 309 ECJ,SINGLE ROW,1
,Public,322FA24MT10,1220104106,DEEP GROOVE BALL BRG6309 2Z/C3,SHIELD1ROW,1
,Public,322FA24MT10,1400113314,FIXED&FREE FACE F/MOTOR 11KW,ABB TYPE:M3BP160MA 1500RPM B3,1
,Public,322FA26MT10,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,322FA26MT10,1220104418,DEEP GROOVE BALL BRG6206 2Z/C3,SHIELD1ROW,1
,Public,322FA28MT10,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,322FA28MT10,1220104418,DEEP GROOVE BALL BRG6206 2Z/C3,SHIELD1ROW,1
,Public,322FA29MT10,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,322FA29MT10,1400113310,FIXED&FREE FACE F/MOTOR 4KW,ABB TYPE:M2BA112 3000RPM B3,1
,Public,322FA29MT10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,322FA36MT10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,322FA36MT10,1220104604,BRG BALL DEEP GROOVE 6206 2RSC3,SINGLE ROW,1
,Public,323FA23MT10,1220104668,BRG BALL DEEP GROOVE 6309 C3,,2
,Public,323FA24MT10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,2
,Public,323LI12MT10,1310202512,SAFETY DEVICE CONTACT,XCK5189 COT014D. SECA,0
,Public,323LI12MT10,1310202506,DOOR MOTOR,WITTUR-SELCOM,0
,Public,323LI12MT10,1310202510,COUNTERWEIGHT GUIDE SHOES,SECA (KIT FOR 4 CLIPS),0
,Public,323LI12MT10,1310202508,REMOTE RS14 GDA25005B10,OTIS-MCS220M,1
,Public,323LI12MT10,1310202503,KIT OF 4 ROLLERS (LOWER),WITTUR-SELCOM,0
,Public,323LI12MT10,1310202507,ELECTROMAGNET 48V,MONTANARI,0
,Public,323LI12MT10,1310202502,KIT OF 4 ROLLER (UPPER),WITTUR-SELCOM,0
,Public,323LI12MT10,1310202504,BERSTEIN CONTACT IP54,WITTUR-SELCOM,0
,Public,323LI12MT10,1310202511,SHEAVE BEARING (KIT OF 2),SECA,0
,Public,323LI12MT10,1310211502,"ROPE GUIDE,COMPLETE117.50.000R","F/HOISTS 323 LG 11, 436 LG 30",0
,Public,323LI12MT10,1310202505,SET OF DOOR PANELS IN SOLID,WITTUR-SELCOM.STAINLESS STEEL,0
,Public,323LI12MT10,1310202509,CAR GUIDE SHOES,SECA (KIT FOR 4 CLIPS),0
,Public,323LI12MT10,1310202501,SETOF DOOR PANELS OP1300X2000,WITTUR-SELCOM PRIME COATED,0
,Public,325BC32MR10,1220104431,DEEP GROOVE BALL BRG6207-2RS1,SHIELD1ROW,1
,Public,325BC32MR10,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,325FA09MT10,1220104571,BRG BALL DEEP GROOVE 6226 C3,1ROW,1
,Public,325FA09MT10,1220104677,BRG BALL DEEP 6226 C3 VL0241,SRV 110538,1
,Public,325RA12MR10,1220104533,DEEP GROOVE BALL BRG6203-2RSH,1RAW,2
,Public,325SC07MR10,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,325SC07MR10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,325SC61MR10,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,325SC61MR10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,326BP27MT10,1220104180,DEEP GROOVE BALL BRG6312-ZZ/C3,SHIELD 1ROW,2
,Public,326DR03BK20,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,326DR03MT20,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,326DR03MT60,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,326DR03MT61,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,326DR03MT11,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,326DR03BK20,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,326DR03MT20,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,326DR03MT60,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,326DR03MT61,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,326DR03MT11,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,326FA21MT10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,326FA21MT10,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,326FA33MT10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,2
,Public,327AW23MT10,1220104430,DEEP GROOVE BRG 6205 2RS1/C3,6205 2RS1/C3,1
,Public,327AW23MT20,1220104430,DEEP GROOVE BRG 6205 2RS1/C3,6205 2RS1/C3,1
,Public,327AW23MT10,1220104215,DEEP GROOVE BALL BRG6004 ZZ/C3,SHIELD 1ROW,1
,Public,327AW23MT20,1220104215,DEEP GROOVE BALL BRG6004 ZZ/C3,SHIELD 1ROW,1
,Public,327CR04MT10,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327CR04MT20,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327CR04MT30,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327CR04MT40,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327CR04MT10,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327CR04MT20,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327CR04MT30,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327CR04MT40,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
