Id,Partition,CodeItem,CodeInventory,Description1,Description2,Qty
,Public,327CR04MT10,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327CR04MT20,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327CR04MT30,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327CR04MT40,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327CR04MT10,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327CR04MT20,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327CR04MT30,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327CR04MT40,1220104553,DEEP GROOVE BALL BRG6213-2Z/C3,1 ROW,2
,Public,327FA05MT10,1220104603,DEEP GROOVE BALL BRG 6217 C3,1 RAW,2
,Public,327FA06MT10,1220104151,DEEP GROOVE BALL BRG 6219,1ROW,2
,Public,327FA07MT10,1220104151,DEEP GROOVE BALL BRG 6219,1ROW,2
,Public,327FA13MT10,1220104667,BRG BALL DEEP GROOVE 6319 C3,,2
,Public,328FA07MT10,1220104681,BRG BALL DEEP GROOVE 6224 C3,VL0241 ISOLATED,2
,Public,329FA11MT10,1220105290,BRG ROLLER CYL NU 310 C3,,1
,Public,329FA11MT10,1220104106,DEEP GROOVE BALL BRG6309 2Z/C3,SHIELD1ROW,1
,Public,331AB32MT10,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,331AB32MT10,1220105298,BRG ROLLER CYL NU 312 ECJ C3,,1
,Public,331AB33MT10,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,331AB33MT10,1220105320,BRG ROLLER CYL NU 309 C3,,1
,Public,331FA04MT10,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,331FA04MT10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,331FA30MT10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,331FA30MT10,1220104093,DEEP GROOVE BALL BRG6206 2RS1,SHIELD1ROW,1
,Public,334FA24MT10,1220104633,BRG BALL DEEP GROOVE 6038 MC3,INSULATED,1
,Public,334FA24MT10,1220105271,SPHER. ROLLER BRG NU 238 MC3,,2
,Public,334FA30MT10,1220104162,DEEP GROOVE BALL BRG 6330M/C3,1ROW,2
,Public,334FA35MT10,1220104418,DEEP GROOVE BALL BRG6206 2Z/C3,SHIELD1ROW,2
,Public,334FA40MT10,1220104418,DEEP GROOVE BALL BRG6206 2Z/C3,SHIELD1ROW,1
,Public,334FA40MT10,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,334RA20MR10,1220104418,DEEP GROOVE BALL BRG6206 2Z/C3,SHIELD1ROW,1
,Public,334RA20MR10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,334SC26MR10,1220104416,DEEP GROOVE BALL BRG6205 2Z/C3,SHIELD 1ROW,1
,Public,334SC27MR10,1220104321,BRG BALL DEEP GROOVE 6306 2Z/C3,"SINGLE RAW,WITH TWO SHIELDS",1
,Public,334SC27MR10,1220104416,DEEP GROOVE BALL BRG6205 2Z/C3,SHIELD 1ROW,1
,Public,334SC46MR10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,334SC46MR10,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,402DC77MT10,1220104421,DEEP GROOVE BALL BRG 6210 ZZ,SHIELD 1ROW CM/5KU11,1
,Public,402DC77MT10,1220104429,DEEP GROOVE BALL BRG 6310 2Z,"SHIELD1ROW, SKF",1
,Public,403BC09MT10,1220104189,DEEP GROOVE BALL BRG 6214-2RS1,SHIELD 1ROW,1
,Public,403BC09MT10,1220104421,DEEP GROOVE BALL BRG 6210 ZZ,SHIELD 1ROW CM/5KU11,1
,Public,416BC07MT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416DC09MT10,1220104429,DEEP GROOVE BALL BRG 6310 2Z,"SHIELD1ROW, SKF",1
,Public,416DC09MT10,1220104421,DEEP GROOVE BALL BRG 6210 ZZ,SHIELD 1ROW CM/5KU11,1
,Public,416LU19HT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19MT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19MT20,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19MT30,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19MT40,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19HT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,416LU19MT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,416LU19MT20,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,416LU19MT30,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,416LU19MT40,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,416LU19HT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19MT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19MT20,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19MT30,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19MT40,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19HT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,416LU19MT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,416LU19MT20,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,416LU19MT30,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,416LU19MT40,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,416LU19HT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19MT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19MT20,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19MT30,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19MT40,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,416LU19HT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,416LU19MT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,416LU19MT20,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,416LU19MT30,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,416LU19MT40,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,423FA05MT10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,423FA05MT10,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,423FA14MT10,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,423FA14MT10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,423FA18MT10,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,423FA18MT10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,432BC11MR10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,1
,Public,432BC11MR10,1220110263,BRG ROLLER CYL NU 316 ECJC3,1ROW,1
,Public,432FA25MT10,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,432FA25MT10,1220105290,BRG ROLLER CYL NU 310 C3,,1
,Public,432FA29MT10,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,432FA29MT10,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436FA60MT10,1220104430,DEEP GROOVE BRG 6205 2RS1/C3,6205 2RS1/C3,0
,Public,436FA60MT10,1220104430,DEEP GROOVE BRG 6205 2RS1/C3,6205 2RS1/C3,1
,Public,436FA69MT10,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436FA69MT10,1220104418,DEEP GROOVE BALL BRG6206 2Z/C3,SHIELD1ROW,1
,Public,436MB10BK20,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436MB10HT30,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436MB10HT40,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436MB10MT20,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436MB10MT30,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436MB10MT31,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436MB10MT32,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436MB10MT40,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436MB10MT41,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436MB10MT50,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436MB10MT51,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436MB10MT52,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436MB10MT53,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436MB10MT10,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,436MB10BK20,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436MB10HT30,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436MB10HT40,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436MB10MT20,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436MB10MT30,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436MB10MT31,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436MB10MT32,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436MB10MT40,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436MB10MT41,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436MB10MT50,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436MB10MT51,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436MB10MT52,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436MB10MT53,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436MB10MT10,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,436MB10BK20,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,436MB10HT30,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,436MB10HT40,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,436MB10MT20,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,436MB10MT30,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,436MB10MT31,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,436MB10MT32,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,436MB10MT40,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,436MB10MT41,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,436MB10MT50,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,436MB10MT51,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,436MB10MT52,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,436MB10MT53,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,436MB10MT10,1220104669,BRG BALL DEEP GROOVE 6310 C3,,1
,Public,436MB10BK20,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,436MB10HT30,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,436MB10HT40,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,436MB10MT20,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,436MB10MT30,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,436MB10MT31,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,436MB10MT32,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,436MB10MT40,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,436MB10MT41,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,436MB10MT50,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,436MB10MT51,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,436MB10MT52,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,436MB10MT53,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,436MB10MT10,1220104668,BRG BALL DEEP GROOVE 6309 C3,,1
,Public,436RA14MR10,1220104415,DEEP GROOVE BALL BRG6204 2Z/C3,1ROW,1
,Public,436RA14MR10,1220104430,DEEP GROOVE BRG 6205 2RS1/C3,6205 2RS1/C3,1
,Public,622FA18MT10,1220104106,DEEP GROOVE BALL BRG6309 2Z/C3,SHIELD1ROW,1
,Public,622FA18MT10,1220104087,DEEP GROOVE BALL BRG6209-2Z/C3,1 ROW,1
,Public,622FA26MT10,1220104180,DEEP GROOVE BALL BRG6312-ZZ/C3,SHIELD 1ROW,1
,Public,622FA26MT10,1220104427,BRG BALL DEEP GROOVE 6210 ZZC3,1ROW,1
,Public,623FA25MT10,1220104106,DEEP GROOVE BALL BRG6309 2Z/C3,SHIELD1ROW,1
,Public,623FA25MT10,1220104087,DEEP GROOVE BALL BRG6209-2Z/C3,1 ROW,1
,Public,623FA77MT10,1410501031,"MOTOR 160KW 1490 RPM 400V,270A,50HZ",,1
,Public,623FA77MT20,1410501031,"MOTOR 160KW 1490 RPM 400V,270A,50HZ",,1
,Public,623FA77MT30,1410501031,"MOTOR 160KW 1490 RPM 400V,270A,50HZ",,1
,Public,920CM01MT10,1400101394,MOTOR 160KW 1485RPM 380/415VAC,INGERSOL TYPE:F315M2-4IRJRJK,1
,Public,920CM01MT10,1400101394,MOTOR 160KW 1485RPM 380/415VAC,INGERSOL TYPE:F315M2-4IRJRJK,1
,Public,920CM02MT10,1220104667,BRG BALL DEEP GROOVE 6319 C3,,1
,Public,920CM02MT10,1220105249,BRG ROLLER CYL NU 222 C3,1ROW,1
,Public,920CM04MT10,1220105249,BRG ROLLER CYL NU 222 C3,1ROW,1
,Public,920CM04MT10,1220104667,BRG BALL DEEP GROOVE 6319 C3,,1
,Public,920CM06MT10,1220104667,BRG BALL DEEP GROOVE 6319 C3,,1
,Public,920CM06MT10,1220105249,BRG ROLLER CYL NU 222 C3,1ROW,1
,Public,317FA55MT10,1400101466,"MOTOR 180KW,380V,1490 RPM,50HZ",,1
,Public,317FA55MT20,1400101466,"MOTOR 180KW,380V,1490 RPM,50HZ",,1
,Public,312AS54MT10,1400101329,"MOTOR 7.5KW,2900RPM,23.5/15A","220D/380Y V,TYPE:Y2-132S",1
,Public,312AS55MT10,1400101329,"MOTOR 7.5KW,2900RPM,23.5/15A","220D/380Y V,TYPE:Y2-132S",0
,Public,327FA11MT10,1400101371,MOTOR 160KW 1490 RPM 690VAC,TYP:1LG63164PM80-Z315L SIEMENS,1
,Public,312AS35MT10,1400101081,MOTOR 5.5KW 3000RPM 380/660VAC,"TYPE:M2BA 132 S2A, MOUNTING B3",1
,Public,312AS36MT10,1400101081,MOTOR 5.5KW 3000RPM 380/660VAC,"TYPE:M2BA 132 S2A, MOUNTING B3",1
,Public,436FA20MT10,1400609334,"SITOR FUSE LINK, SIEMENS","SIZE1 200A,1000V,PN:3NE1436-2",4
,Public,620CM01MT10,1410501129,"MOTOR 75KW,400V,2976 RPM,133 AMP,0.86P.F","ABB,F/COAL MILL COMPRESSOR MOTORS (620 CM01/03)",1
,Public,620CM03MT10,1410501129,"MOTOR 75KW,400V,2976 RPM,133 AMP,0.86P.F","ABB,F/COAL MILL COMPRESSOR MOTORS (620 CM01/03)",1
,Public,513PM07MT20,1400503857,PRESSURE SWITCH 1-10BAR,,8
,Public,513PM07MT30,1400503857,PRESSURE SWITCH 1-10BAR,,8
,Public,513PM07MT40,1400503857,PRESSURE SWITCH 1-10BAR,,8
,Public,513PM07MT50,1400503857,PRESSURE SWITCH 1-10BAR,,8
,Public,513PM07MT60,1400503857,PRESSURE SWITCH 1-10BAR,,8
,Public,513PM07MT70,1400503857,PRESSURE SWITCH 1-10BAR,,8
,Public,513PM07MT80,1400503857,PRESSURE SWITCH 1-10BAR,,8
,Public,513PM07MT90,1400503857,PRESSURE SWITCH 1-10BAR,,8
,Public,513PM07MT20,1400502501,TERMINAL,,8
,Public,513PM07MT30,1400502501,TERMINAL,,8
,Public,513PM07MT40,1400502501,TERMINAL,,8
,Public,513PM07MT50,1400502501,TERMINAL,,8
,Public,513PM07MT60,1400502501,TERMINAL,,8
,Public,513PM07MT70,1400502501,TERMINAL,,8
,Public,513PM07MT80,1400502501,TERMINAL,,8
,Public,513PM07MT90,1400502501,TERMINAL,,8
,Public,323LI12MT10,1400508031,"LANDING DOOR KIT,F/4 ROLLER (LOWER)",,0
,Public,334RA47MR10,1400101471,"MOTOR 1.1KW,400V,50HZ,1500 RPM,PF 0.81",,1
,Public,403AF05MT50,1220104415,Bearring For primary vent,,1
,Public,403AF05MT40,1220104415,Bearring For primary vent,,1
,Public,403AF05MT10,1220104415,Bearring For primary vent,,1
,Public,403AF05MT20,1220104415,Bearring For primary vent,,1
,Public,403AF05MT30,1220104415,Bearring For primary vent,,1
,Public,403AF05MT50,1220104599,Bearring For primary vent,,0
,Public,403AF05MT40,1220104599,Bearring For primary vent,,0
,Public,403AF05MT10,1220104599,Bearring For primary vent,,0
,Public,403AF05MT20,1220104599,Bearring For primary vent,,0
,Public,403AF05MT30,1220104599,Bearring For primary vent,,0
,Public,523SC13MT10,1220104321,Motor bearings,,0
,Public,523SC13MT10,1220104416,Motor bearings,,0
,Public,523BE17MT10,1220104423,motor bearings,,1
,Public,523BE17MT10,1220104095,motor bearings,,1
,Public,522SB05MT10,1220104095,Motor bearings,,1
,Public,522SB05MT10,1220104597,Motor bearings,,1
,Public,523DC21MT10,1220105298,Motor bearing,,1
,Public,523DC21MT20,1220105298,Motor bearing,,1
,Public,523DC21MT10,1220104669,Motor bearing,,1
,Public,523DC21MT20,1220104669,Motor bearing,,1
,Public,522AS03MT10,1220104095,Motor bearings,,1
,Public,522AS03MT10,1220104418,Motor bearings,,1
,Public,502DC43MT10,1220104106,motor bearings,,1
,Public,502DC43MT10,1220104087,motor bearings,,1
,Public,522AS09MT10,1220104418,motor bearing,,1
,Public,522AS09MT10,1220104095,motor bearing,,1
,Public,512SB05MT10,1220104597,motor bearings,,0
,Public,532SB05MT10,1220104597,Motor bearings,,0
,Public,542SB05MT10,1220104597,Motor bearings,,1
,Public,512SB05MT10,1220104095,Motor bearings,,0
,Public,532SB05MT10,1220104095,Motor bearings,,0
,Public,542SB05MT10,1220104095,Motor bearings,,1
,Public,533PM07MT26,1220104431,Motor bearings,,1
,Public,533PM07MT26,1220104093,Motor bearings,,1
,Public,208DC15MR10,1400101329,Motor ,,1
,Public,208DC15MT10,1400101329,Motor ,,1
,Public,208DC15MR10,1220104095,Bearing,,1
,Public,208DC15MT10,1220104095,Bearing,,1
,Public,208DC15MR10,1220104597,Bearing,,1
,Public,208DC15MT10,1220104597,Bearing,,1
,Public,532AS03MT10,1220104095,bearing,,1
,Public,532AS03MT10,1220104418,bearing,,1
,Public,512AS09MT10,1220104095,beaig,,1
,Public,512AS09MT10,1220104418,bearing,,1
,Public,202DC29MT10,1400101469,"MOTOR 22KW,380V,1460RPM,50 HZ,4 POLES",,0
,Public,202DC29MT10,1400101469,"MOTOR 22KW,380V,1460RPM,50 HZ,4 POLES",,0
,Public,436BE16MR10,1420300502,SPEED MONITOR  KFU8-DWB-1.D,ITEM NO.30037308,2
,Public,436BE16MT10,1420300502,SPEED MONITOR  KFU8-DWB-1.D,ITEM NO.30037308,2
,Public,438BE08MR10,1420300502,SPEED MONITOR  KFU8-DWB-1.D,ITEM NO.30037308,1
,Public,438BE08MT10,1420300502,SPEED MONITOR  KFU8-DWB-1.D,ITEM NO.30037308,1
,Public,432BC19MT10,1220110263,BRG ROLLER CYL NU 316 ECJC3,1ROW,1
,Public,432BC19MT10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,1
,Public,423FA16MT10,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,423FA16MT10,1220104597,BRG BALL DEEP GROOVE 6208 2RSC3,SINGLE ROW,1
,Public,432BC12MR10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,1
,Public,432BC12MR10,1220110263,BRG ROLLER CYL NU 316 ECJC3,1ROW,1
,Public,428BE03MT10,1400115128,MOTOR 11KW 380V 1450RPM 21.3A,"TYPE:IKK FRAM160L,FCKLBSW8",1
,Public,428BE03MT20,1400115128,MOTOR 11KW 380V 1450RPM 21.3A,"TYPE:IKK FRAM160L,FCKLBSW8",1
,Public,556BC01MR10,1400115324,"GEARED MOTOR TYPE SA57/TDT90L4 ,1.5KW",,0
